ertt ertert
tertet terter
tyrtyr rtyyr
rerwrr ewrwer
ewrwrrwe werrewr
bcvvbcbv cvbb
erwrwr werrew
ytryyr yrttyyr
tyuty tyutuy
erwr wrwer
rtyrty rtytyr
yuiiuy yuiiuy
fdsfsf ddfsdf
erwrw werrw
rwerwr erwrwer
erwrwqrwe rerwerw
werwer werwre
dfsfsdf sdffsdf
dsadad dsadsad
asdad dadsada
sdfdfsfs sdfdfs
erwrerwr wewrwew
sdffsdf fsdfsdf
ewrr wrfwewe
rewr werrwe
werr wwer
werwe rwrweer
qweqee weq
ertte rttert
tyutyu tyutyu
wqeeqw eqweew
player1 asdasd
player2 asssdddd
weqeqwe qweeq
wqeqe eqweqe
werrwe rwerwr
plaaayer1 ergergsgf
playeeeer22 sgregbdfgr
